Report Date,Unnamed: 1,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,2.48,4.96,5.67,7.22,7.27,7.43,5.97,8.79,28.37,HAPPSTMNDS
Reserves,,74.15,26.92,62.39,84.34,155.56,143.24,-95.86,220.48,518.3,HAPPSTMNDS
Borrowings,,,2.72,7.26,36.42,53.63,96.87,384.06,113.86,192.75,HAPPSTMNDS
Other Liabilities,,27.67,42.76,65.05,85.5,94.84,112.14,117.62,164.98,167.53,HAPPSTMNDS
Total,,104.3,77.36,140.37,213.48,311.3,359.68,411.79,508.11,906.95,HAPPSTMNDS
Net Block,,2.07,7.17,8.11,8.39,10.73,44.04,61.1,37.8,28.92,HAPPSTMNDS
Capital Work in Progress,,,,,0.11,0.28,0.14,0.17,0.17,0.14,HAPPSTMNDS
Investments,,88.57,20.81,50.51,69.75,155.33,160.7,98.15,83.37,488.68,HAPPSTMNDS
Other Assets,,13.66,49.38,81.75,135.23,144.96,154.8,252.37,386.77,389.21,HAPPSTMNDS
Total,,104.3,77.36,140.37,213.48,311.3,359.68,411.79,508.11,906.95,HAPPSTMNDS
Receivables,,3.66,26.03,57.91,68.19,67.03,93.93,127.52,114.87,116.1,HAPPSTMNDS
Inventory,,,,,,,,,,,HAPPSTMNDS
Cash & Bank,,3.74,3.97,3.49,14.46,7.17,14.93,26.05,189.57,138.87,HAPPSTMNDS
No. of Equity Shares,,12388815.0,49582130.0,28371485.0,36135635.0,36369865.0,37166815.0,29833252.0,43899177.0,141783304.0,HAPPSTMNDS
New Bonus Shares,,,,,,,,,,,HAPPSTMNDS
Face value,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,HAPPSTMNDS
