Report Date,2011-03-31 00:00:00,2012-09-30 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,63.37,40.08,118.08,118.08,118.08,118.08,118.08,124.56,124.56,124.56,UDAICEMENT
Reserves,-229.93,-101.22,-98.87,-89.42,94.27,40.61,-3.09,-5.42,9.47,64.21,UDAICEMENT
Borrowings,120.2,,50.0,50.0,350.32,525.26,517.28,538.29,532.85,542.03,UDAICEMENT
Other Liabilities,117.84,102.36,65.57,104.45,46.37,193.35,258.18,225.18,250.59,243.99,UDAICEMENT
Total,71.48,41.22,134.78,183.11,609.04,877.3,890.45,882.61,917.47,974.79,UDAICEMENT
Net Block,44.02,20.97,53.41,49.49,155.86,663.6,765.54,739.59,706.97,681.19,UDAICEMENT
Capital Work in Progress,,3.82,16.82,93.48,349.88,102.01,,,6.03,46.25,UDAICEMENT
Investments,,,,,9.15,,,,25.09,92.74,UDAICEMENT
Other Assets,27.46,16.43,64.55,40.14,94.15,111.69,124.91,143.02,179.38,154.61,UDAICEMENT
Total,71.48,41.22,134.78,183.11,609.04,877.3,890.45,882.61,917.47,974.79,UDAICEMENT
Receivables,3.68,0.99,1.21,0.32,0.61,0.91,4.09,3.23,7.13,0.82,UDAICEMENT
Inventory,8.43,4.22,5.71,4.38,6.4,43.55,38.59,40.51,67.73,50.71,UDAICEMENT
Cash & Bank,0.63,5.62,52.35,3.57,20.77,0.93,0.76,0.76,1.19,12.7,UDAICEMENT
No. of Equity Shares,63370033.0,100205280.0,295205280.0,295205280.0,295205280.0,295205280.0,295205280.0,311409817.0,311409817.0,311409817.0,UDAICEMENT
New Bonus Shares,,,,,,,,,,,UDAICEMENT
Face value,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,UDAICEMENT
