Report Date,Unnamed: 1,2017-06-30 00:00:00,2017-09-30 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,8.68,2.27,8.27,8.69,9.55,19.94,8.85,9.06,10.7,ARVEE
Expenses,,7.21,2.24,6.93,7.66,8.53,17.33,7.81,7.63,9.0,ARVEE
Other Income,,0.05,0.06,0.1,0.33,0.11,0.13,0.29,0.06,0.07,ARVEE
Depreciation,,0.54,,0.57,0.6,0.6,0.59,0.62,0.66,0.67,ARVEE
Interest,,0.82,0.03,0.2,0.09,0.23,0.11,0.09,0.12,0.06,ARVEE
Profit before tax,,0.16,0.06,0.67,0.67,0.3,2.04,0.62,0.71,1.04,ARVEE
Tax,,0.03,0.01,0.05,0.17,0.09,0.51,0.19,0.18,0.31,ARVEE
Net profit,,0.13,0.05,0.63,0.5,0.21,1.53,0.43,0.53,0.73,ARVEE
Operating Profit,,1.47,0.03,1.34,1.03,1.02,2.61,1.04,1.43,1.7,ARVEE
