Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,671.45,1049.26,1702.47,3031.22,6186.19,7037.97,8957.51,9794.48,9077.47,8619.04,EICHERMOT
Raw Material Cost,459.84,697.63,1092.6,1850.93,3497.99,3722.71,4672.28,5263.32,4878.15,5258.83,EICHERMOT
Change in Inventory,14.4,21.27,31.96,43.17,53.22,14.5,31.47,198.46,-110.35,154.76,EICHERMOT
Power and Fuel,6.47,11.01,17.68,23.23,46.17,45.99,52.37,66.89,62.82,52.94,EICHERMOT
Other Mfr. Exp,24.37,38.62,57.55,90.94,173.61,172.33,210.0,262.96,255.85,250.05,EICHERMOT
Employee Cost,51.04,78.86,110.9,160.9,342.22,408.97,547.86,679.53,765.12,803.95,EICHERMOT
Selling and admin,53.61,82.38,118.84,174.64,381.77,402.25,534.45,634.83,629.1,476.57,EICHERMOT
Other Expenses,10.2,16.52,23.07,39.64,89.34,94.02,117.82,136.91,169.4,143.03,EICHERMOT
Other Income,76.55,45.7,80.04,115.75,283.37,226.92,19.45,486.4,612.44,450.11,EICHERMOT
Depreciation,13.02,17.15,30.41,50.16,136.55,153.34,222.34,298.93,377.92,446.03,EICHERMOT
Interest,2.02,0.26,0.27,1.67,2.12,2.79,3.04,2.99,10.86,9.2,EICHERMOT
Profit before tax,141.83,173.8,363.15,798.03,1853.01,2276.99,2648.27,3132.98,2430.34,1783.31,EICHERMOT
Tax,17.28,29.04,84.53,239.11,543.79,716.97,935.36,1078.54,526.52,453.61,EICHERMOT
Net profit,124.55,144.76,278.62,558.92,1309.22,1560.02,1712.91,2054.44,1903.82,1329.7,EICHERMOT
