Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2019-12-31 00:00:00,2020-12-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,8.48,8.48,POWERINDIA
Reserves,,,,,,,,,831.34,924.04,POWERINDIA
Borrowings,,,,,,,,,347.62,39.07,POWERINDIA
Other Liabilities,,,,,,,,,2253.18,2531.53,POWERINDIA
Total,,,,,,,,,3440.62,3503.12,POWERINDIA
Net Block,,,,,,,,,579.45,655.83,POWERINDIA
Capital Work in Progress,,,,,,,,,56.69,32.36,POWERINDIA
Investments,,,,,,,,,,,POWERINDIA
Other Assets,,,,,,,,,2804.48,2814.93,POWERINDIA
Total,,,,,,,,,3440.62,3503.12,POWERINDIA
Receivables,,,,,,,,,1782.85,1584.5,POWERINDIA
Inventory,,,,,,,,,493.2,495.08,POWERINDIA
Cash & Bank,,,,,,,,,188.04,318.95,POWERINDIA
No. of Equity Shares,,,,,,,,,42381675.0,42381675.0,POWERINDIA
New Bonus Shares,,,,,,,,,,,POWERINDIA
Face value,,,,,,,,,2.0,2.0,POWERINDIA
